# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.1.2

_fengo.wiped, boolean, 01
accepting.welcomes, boolean, 00
alcohol.pumpkinpepper, long, 0000000000000001
announce.last, long, 0000000000000002
arena.going, boolean, 00
bonus, double, 401C000000000000
bossbar.using, boolean, 00
boughtteir.<player>, long, 0000000000000000
captainstupid.wiped, boolean, 01
chat.is.muted, boolean, 00
chatspy.captainstupid, boolean, 01
chatspy.darkeye932, boolean, 01
chatspy.dinoppar, boolean, 01
chatspy.drbloodbathmc, boolean, 01
chatspy.evillittlething, boolean, 01
chatspy.hobbitsyfeet, boolean, 01
chatspy.infiniterose, boolean, 01
chatspy.mrprotagonist, boolean, 01
chatspy.post_rogue, boolean, 01
chatspy.scatzbro, boolean, 01
chatspy.shadow007uk, boolean, 01
cobblehunt.blockset, boolean, 00
damagetype._fengo, damagecause, 10454E544954595F4558504C4F53494F4E
damagetype.adnap09, damagecause, 0446414C4C
damagetype.atomicburgerflip, damagecause, 0446414C4C
damagetype.beagle5555, damagecause, 0446414C4C
damagetype.canadianeatfresh, damagecause, 0446414C4C
damagetype.coolcoolcool64, damagecause, 0446414C4C
damagetype.dpw750, damagecause, 0446414C4C
damagetype.drbloodbathmc, damagecause, 0A53544152564154494F4E
damagetype.evillittlething, damagecause, 0A50524F4A454354494C45
damagetype.fifatord, damagecause, 0446414C4C
damagetype.green11, damagecause, 10454E544954595F4558504C4F53494F4E
damagetype.hobbitsyfeet, damagecause, 0446414C4C
damagetype.infiniterose, damagecause, 0A53544152564154494F4E
damagetype.katekitkat9, damagecause, 0446414C4C
damagetype.kristycream, damagecause, 0D454E544954595F41545441434B
damagetype.kyokokat, damagecause, 0446414C4C
damagetype.lacerfacerxd, damagecause, 0446414C4C
damagetype.lordlankovic, damagecause, 0A50524F4A454354494C45
damagetype.luna482, damagecause, 0844524F574E494E47
damagetype.nitrogengaming1, damagecause, 0D454E544954595F41545441434B
damagetype.post_rogue, damagecause, 0446414C4C
damagetype.pumpkinpepper, damagecause, 0446414C4C
damagetype.quisalas, damagecause, 09464952455F5449434B
damagetype.raventhegreat, damagecause, 0446414C4C
damagetype.rubyserpent, damagecause, 10454E544954595F4558504C4F53494F4E
damagetype.ryan1450, damagecause, 0446414C4C
damagetype.scatzbro, damagecause, 0D454E544954595F41545441434B
damagetype.scorrpine, damagecause, 0446414C4C
damagetype.sharkboy5432, damagecause, 0446414C4C
damagetype.varanta, damagecause, 10454E544954595F4558504C4F53494F4E
damagetype.warriorchad414, damagecause, 0D454E544954595F41545441434B
damagetype.zell963s, damagecause, 0A50524F4A454354494C45
death.captainstupid.last, damagecause, 044C415641
death.evillittlething.last, damagecause, 10454E544954595F4558504C4F53494F4E
death.infiniterose.last, damagecause, 10454E544954595F4558504C4F53494F4E
death.kyokokat.last, damagecause, 10454E544954595F4558504C4F53494F4E
death.post_rogue.last, damagecause, 0446414C4C
death.rubyserpent.last, damagecause, 10454E544954595F4558504C4F53494F4E
death.shaunticlair.last, damagecause, 09464952455F5449434B
dinoppar.wiped, boolean, 01
donationlevel.adnap09, string, 80076E6F7468696E67
donationlevel.aiden_h1, string, 80076E6F7468696E67
donationlevel.anonymous_404, string, 80076E6F7468696E67
donationlevel.atomicburgerflip, string, 80076E6F7468696E67
donationlevel.batman1120002, string, 80076E6F7468696E67
donationlevel.beagle5555, string, 80076E6F7468696E67
donationlevel.clymate, string, 80076E6F7468696E67
donationlevel.coolcoolcool64, string, 80076E6F7468696E67
donationlevel.diskdinomite, string, 80076E6F7468696E67
donationlevel.fifatord, string, 80076E6F7468696E67
donationlevel.fireknight92, string, 80076E6F7468696E67
donationlevel.fwiter, string, 80076E6F7468696E67
donationlevel.idafox, string, 80076E6F7468696E67
donationlevel.lego7711, string, 80076E6F7468696E67
donationlevel.pumpkinpepper, string, 80076E6F7468696E67
donationlevel.saphrana, string, 80076E6F7468696E67
donationlevel.scorrpine, string, 80076E6F7468696E67
donationlevel.sharkboy5432, string, 80076E6F7468696E67
donationlevel.statiikxkaleb, string, 80076E6F7468696E67
donationlevel.swimmer117, string, 80076E6F7468696E67
donationlevel.thegreatcrafter7, string, 80076E6F7468696E67
donationlevel.varanta, string, 80076E6F7468696E67
donationlevel.warriorchad414, string, 80076E6F7468696E67
donationlevel.zell963s, string, 80076E6F7468696E67
donationlevel.zombiehugger4, string, 80076E6F7468696E67
dpw750.wiped, boolean, 01
drop.lastused, date, 810974696D657374616D70040000014B657B6867
dropparty.donetoday, boolean, 00
dropparty.freeze, boolean, 00
dropparty.last, date, 810974696D657374616D70040000014B657A42B5
dropparty.starting, boolean, 00
drugs.<player>, long, 0000000000000000
drugs.<player>.weed.brokenup, long, 0000000000000000
drugs.dinoppar.weed.breakingup, boolean, 00
drugs.dinoppar.weed.brokenup, double, 3FF0000000000000
evillittlething.wiped, boolean, 01
flogincount, double, 4071500000000000
green11.wiped, boolean, 01
hobbitsyfeet.wiped, boolean, 01
joinedparty._fengo, boolean, 00
joinedparty.adnap09, boolean, 00
joinedparty.aiden_h1, boolean, 00
joinedparty.anonymous_404, boolean, 00
joinedparty.atomicburgerflip, boolean, 00
joinedparty.batman1120002, boolean, 00
joinedparty.beagle5555, boolean, 00
joinedparty.canadianeatfresh, boolean, 00
joinedparty.captainstupid, boolean, 00
joinedparty.clymate, boolean, 00
joinedparty.coolcoolcool64, boolean, 00
joinedparty.darkeye932, boolean, 00
joinedparty.dinoppar, boolean, 00
joinedparty.diskdinomite, boolean, 00
joinedparty.dpw750, boolean, 00
joinedparty.drbloodbathmc, boolean, 00
joinedparty.esfavorie, boolean, 00
joinedparty.evillittlething, boolean, 00
joinedparty.fifatord, boolean, 00
joinedparty.fireknight92, boolean, 00
joinedparty.fwiter, boolean, 00
